run_name,features,window,test_fraction,scaler,log_price,diff_target,model_type,hidden_size,num_layers,dropout,task,learning_rate,weight_decay,grad_clip,batch_size,num_epochs,patience,notes,test_rmse,test_mae,test_mape,test_r2,test_directional_accuracy,test_naive_rmse,test_beats_naive,test_accuracy,test_precision,test_recall,test_f1_score,test_majority_rate
optuna_best,['Close'],45,0.2,minmax,False,True,lstm,32,1,0.1349867261704925,regression,0.0018957554210603923,4.003685763635309e-06,5.0,16,120,20,,606.9930308677223,407.00654556537796,4.136957517808781,0.9695630484622988,0.5078740157480315,607.9422905563133,True,,,,,
l1_window30,['Close'],30,0.2,standard,False,True,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Janela de 1 mes.,607.2379580338368,404.8738873536048,4.115234626748611,0.9695384803389974,0.5196850393700787,607.9422903799082,True,,,,,
l1_rnn,['Close'],60,0.2,standard,False,True,rnn,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,RNN simples: a referencia que a LSTM veio superar.,607.2787863475309,403.9456304051708,4.107111055195591,0.9695343839735631,0.531496062992126,607.9422903799082,True,,,,,
l1_window90,['Close'],90,0.2,standard,False,True,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Janela longa: 3 meses de contexto.,607.3482890145079,405.20702570709363,4.118493179281012,0.9695274100341387,0.5196850393700787,607.9422903799082,True,,,,,
l1_gru,['Close'],60,0.2,standard,False,True,gru,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,"GRU: versao simplificada da LSTM, menos parametros.",607.36446843242,405.40784205588903,4.123472384241317,0.9695257864670888,0.49606299212598426,607.9422903799082,True,,,,,
l1_hidden128,['Close'],60,0.2,standard,False,True,lstm,128,2,0.0,regression,0.001,0.0,1.0,32,60,12,Capacidade maior.,607.4083126566882,405.2301622366902,4.1184867409322745,0.9695213865835013,0.5078740157480315,607.9422903799082,True,,,,,
l1_window15,['Close'],15,0.2,standard,False,True,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Janela curta: so as ultimas 2 semanas importam?,607.4624615829349,405.27301057338735,4.119370177672546,0.9695159521575331,0.5196850393700787,607.9422903799082,True,,,,,
formul_variacao,['Close'],60,0.2,standard,False,True,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Comparacao de formulacao do alvo: variacao.,607.530622726198,405.3447431468945,4.120089650637981,0.9695091107664797,0.5196850393700787,607.9422903799082,True,,,,,
l1_ohlcv,"['Open', 'High', 'Low', 'Close', 'Volume']",60,0.2,standard,False,True,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Usa OHLCV completo em vez de so o fechamento.,607.7046492154186,405.47222478783715,4.120879099065197,0.969491640100183,0.5196850393700787,607.9422903799082,True,,,,,
l1_hidden16,['Close'],60,0.2,standard,False,True,lstm,16,2,0.0,regression,0.001,0.0,1.0,32,60,12,"Capacidade menor — a serie e curta, talvez 64 seja demais.",607.7603956028101,405.491917430476,4.120753007280794,0.9694860426150949,0.5196850393700787,607.9422903799082,True,,,,,
formul_retorno,['Close'],60,0.2,standard,True,True,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Comparacao de formulacao do alvo: retorno.,618.9097760746463,412.00806215258456,4.205902515816802,0.9683562147586092,0.5748031496062992,607.9422883799489,False,,,,,
formul_nivel_log,['Close'],60,0.2,minmax,True,False,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Comparacao de formulacao do alvo: nivel_log.,1034.4451782205658,697.1342210164352,6.860036372374727,0.9116007269184884,0.5236220472440944,607.942271663599,False,,,,,
baseline_nivel,['Close'],60,0.2,minmax,False,False,lstm,64,2,0.0,regression,0.001,0.0,0.0,32,100,15,"Reproduz o tutorial do enunciado: janela 60, MinMax, previsao do nivel do preco.",3940.8726500260136,2932.2008626451643,26.2627978189388,-0.2829760618022714,0.484251968503937,607.9422831678767,False,,,,,
formul_nivel,['Close'],60,0.2,minmax,False,False,lstm,64,2,0.0,regression,0.001,0.0,1.0,32,60,12,Comparacao de formulacao do alvo: nivel.,4510.763985636315,3483.0509619806694,31.88925302846827,-0.6808693586739052,0.484251968503937,607.9422831678767,False,,,,,
direcao_baseline,['Close'],30,0.2,standard,False,True,lstm,64,2,0.0,direction,0.001,0.0,1.0,32,80,15,Classificacao binaria alta/baixa do dia seguinte — gera a matriz de confusao.,,,,,,,,0.7283464566929134,0.75,0.6446280991735537,0.6933333333333332,0.5236220472440944
